sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
10006;BME280;5042;42.626;23.382;2020-06-10T02:38:52;93924.69;;;15.36;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:41:23;93924.44;;;15.25;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:43:52;93926.41;;;15.42;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:46:22;93924.59;;;15.31;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:49:07;93926.19;;;15.32;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:51:51;93935.13;;;15.07;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:54:38;93934.03;;;14.84;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T02:57:26;93938.84;;;14.88;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:00:10;93938.59;;;14.77;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:02:45;93953.03;;;14.63;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:05:36;93969.22;;;14.67;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:08:23;93967.69;;;14.59;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:11:04;93969.19;;;14.55;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:13:43;93966.34;;;14.50;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:16:21;93963.66;;;14.56;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:18:57;93971.28;;;14.65;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:21:27;93971.66;;;14.80;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:23:59;93968.34;;;14.84;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:26:28;93969.41;;;14.95;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:28:57;93975.72;;;15.06;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:31:28;93969.75;;;14.99;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:34:09;93976.06;;;14.98;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:36:55;93969.66;;;15.05;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:39:40;93971.13;;;15.01;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:42:23;93961.84;;;14.99;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:45:07;93971.22;;;14.95;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:47:51;93969.75;;;14.99;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:50:28;93971.94;;;15.14;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:53:21;93965.56;;;15.21;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:56:11;93972.78;;;15.14;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T03:58:48;93963.13;;;15.08;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:01:25;93960.16;;;15.16;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:04:10;93958.34;;;15.40;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:06:44;93963.75;;;15.45;100.00
