sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
38798;SHT11;24546;52.240;16.826;2020-06-10T06:19:01;20.10;66.20
38798;SHT11;24546;52.240;16.826;2020-06-10T06:24:38;19.70;65.80
38798;SHT11;24546;52.240;16.826;2020-06-10T06:29:53;20.30;64.70
38798;SHT11;24546;52.240;16.826;2020-06-10T06:35:03;20.70;62.50
38798;SHT11;24546;52.240;16.826;2020-06-10T06:40:14;20.90;61.60
38798;SHT11;24546;52.240;16.826;2020-06-10T06:45:36;21.60;59.10
38798;SHT11;24546;52.240;16.826;2020-06-10T06:50:40;21.00;59.90
38798;SHT11;24546;52.240;16.826;2020-06-10T06:55:57;21.40;59.60
38798;SHT11;24546;52.240;16.826;2020-06-10T07:01:04;21.60;59.10
38798;SHT11;24546;52.240;16.826;2020-06-10T07:06:32;22.00;59.50
38798;SHT11;24546;52.240;16.826;2020-06-10T07:11:51;21.90;59.20
38798;SHT11;24546;52.240;16.826;2020-06-10T07:17:11;22.50;59.20
38798;SHT11;24546;52.240;16.826;2020-06-10T07:22:24;23.10;58.50
38798;SHT11;24546;52.240;16.826;2020-06-10T07:27:51;23.20;60.10
38798;SHT11;24546;52.240;16.826;2020-06-10T07:33:21;22.80;60.70
38798;SHT11;24546;52.240;16.826;2020-06-10T07:38:36;22.30;62.40
38798;SHT11;24546;52.240;16.826;2020-06-10T07:43:37;22.90;62.70
38798;SHT11;24546;52.240;16.826;2020-06-10T07:49:00;22.90;62.70
38798;SHT11;24546;52.240;16.826;2020-06-10T07:54:14;22.10;64.20
38798;SHT11;24546;52.240;16.826;2020-06-10T07:59:34;22.00;64.30
38798;SHT11;24546;52.240;16.826;2020-06-10T08:04:54;21.60;64.20
38798;SHT11;24546;52.240;16.826;2020-06-10T08:09:55;21.40;66.50
38798;SHT11;24546;52.240;16.826;2020-06-10T08:15:19;20.60;67.90
38798;SHT11;24546;52.240;16.826;2020-06-10T08:20:38;20.80;67.80
38798;SHT11;24546;52.240;16.826;2020-06-10T08:25:58;20.70;69.70
38798;SHT11;24546;52.240;16.826;2020-06-10T08:31:06;20.50;70.40
38798;SHT11;24546;52.240;16.826;2020-06-10T08:36:16;20.00;70.90
38798;SHT11;24546;52.240;16.826;2020-06-10T08:41:42;19.60;73.60
38798;SHT11;24546;52.240;16.826;2020-06-10T08:46:54;19.40;74.40
38798;SHT11;24546;52.240;16.826;2020-06-10T08:52:33;19.30;75.50
38798;SHT11;24546;52.240;16.826;2020-06-10T08:57:47;19.60;73.50
38798;SHT11;24546;52.240;16.826;2020-06-10T09:03:07;19.60;74.10
38798;SHT11;24546;52.240;16.826;2020-06-10T09:08:36;19.60;74.50
38798;SHT11;24546;52.240;16.826;2020-06-10T09:13:46;19.60;74.10
38798;SHT11;24546;52.240;16.826;2020-06-10T09:18:49;19.80;74.60
38798;SHT11;24546;52.240;16.826;2020-06-10T09:24:12;19.70;74.40
38798;SHT11;24546;52.240;16.826;2020-06-10T09:29:32;19.70;74.30
38798;SHT11;24546;52.240;16.826;2020-06-10T09:34:42;19.80;74.70
38798;SHT11;24546;52.240;16.826;2020-06-10T09:40:02;19.50;74.50
38798;SHT11;24546;52.240;16.826;2020-06-10T09:45:20;19.60;75.20
38798;SHT11;24546;52.240;16.826;2020-06-10T09:50:21;19.80;75.10
38798;SHT11;24546;52.240;16.826;2020-06-10T09:55:41;19.60;74.70
38798;SHT11;24546;52.240;16.826;2020-06-10T10:01:21;19.60;75.80
38798;SHT11;24546;52.240;16.826;2020-06-10T10:06:40;19.80;75.60
38798;SHT11;24546;52.240;16.826;2020-06-10T10:12:01;19.60;76.20
38798;SHT11;24546;52.240;16.826;2020-06-10T10:17:21;19.50;75.90
38798;SHT11;24546;52.240;16.826;2020-06-10T10:22:42;19.20;76.50
38798;SHT11;24546;52.240;16.826;2020-06-10T10:27:44;19.20;78.00
38798;SHT11;24546;52.240;16.826;2020-06-10T10:33:08;19.10;77.50
