sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2
26640;HPM;14269;47.358;0.724;2020-06-10T03:13:00;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:13:32;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:14:21;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:17:40;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:20:32;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:23:14;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:25:55;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:28:37;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:31:19;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:34:21;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:34:53;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:38:34;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:41:36;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:44:48;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:45:20;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:48:20;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:51:22;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:54:34;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T03:57:56;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:00:48;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:01:20;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:01:51;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:02:23;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:05:21;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:08:43;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:09:15;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:12:16;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:15:07;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:18:30;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:21:21;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:24:13;4.0;5.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:27:15;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:30:17;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:32:59;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:36:31;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:37:03;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:37:35;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:38:21;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:39:03;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:39:37;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:42:35;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:45:47;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:48:49;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:49:21;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:52:22;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:53:04;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:55:54;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:56:34;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T04:59:26;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:02:28;5.0;6.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:05:20;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:08:12;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:08:44;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:11:34;10.0;11.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:14:36;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:15:16;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:18:19;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:19:00;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:22:01;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:24:53;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:25:24;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:27:35;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:30:37;7.0;8.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:33:38;8.0;9.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:36:51;6.0;7.0
26640;HPM;14269;47.358;0.724;2020-06-10T05:39:42;6.0;7.0
