sensor_id;sensor_type;location;lat;lon;timestamp;counts_per_minute;hv_pulses;tube;counts;sample_time_ms
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:36:27;87;130;;219;150221
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:38:55;76;124;;191;150664
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:41:18;80;126;;201;150053
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:43:45;83;132;;209;149746
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:46:30;72;136;;180;149818
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:49:12;77;121;;193;149520
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:51:38;76;108;;192;150525
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:53:56;72;112;;181;150247
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:56:30;72;125;;182;149949
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T02:59:07;81;121;;203;149949
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:01:31;86;113;;217;150324
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:04:07;80;120;;200;149448
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:06:21;88;114;;219;148942
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:09:13;71;130;;181;151165
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:11:33;82;108;;205;148893
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:14:00;71;118;;180;150985
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:16:31;79;121;;198;150365
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:19:02;86;120;;216;149394
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:21:42;79;118;;199;150775
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:23:41;77;109;;194;149757
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:26:20;74;139;;185;149777
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:28:45;77;131;;194;149334
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:31:27;79;136;;198;150352
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:33:46;84;124;;213;150544
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:36:25;73;135;;179;146716
